Date,Title,Publisher,Description,Link
01/02/2023,How Elon Musk lost $130 billion in a year,EL PAÍS in English,https://english.elpais.com/economy-and-business/2023-01-02/how-elon-musk-lost-130-billion-in-a-year.html,"While 2021 was a good year for Elon Musk, the same cannot be said of 2022. Last year, the Tesla founder was named the richest person in the world."
01/02/2023,Elon Musk has lost a bigger fortune than anyone in history,WPSD Local 6,https://www.wpsdlocal6.com/news/elon-musk-has-lost-a-bigger-fortune-than-anyone-in-history/article_388189f0-8aac-11ed-98d5-3b3901e3d6a8.html,"(CNN) — Elon Musk's wealth destruction has become historic. The CEO of Tesla, SpaceX and Twitter is worth $137 billion, according to the Bloomberg..."
01/02/2023,Elon Musk 1st person in world to lose $200 bn in net worth: Report,Siasat.com,https://www.siasat.com/elon-musk-1st-person-in-world-to-lose-200-bn-in-net-worth-report-2493394/,"San Francisco: If you have lost money in shares recently, read this. Tesla and Twitter CEO Elon Musk has become the first person ever to lose $200 billion..."
01/02/2023,Stock Market Sell-Off: Is Elon Musk Right About Tesla Stock?,The Motley Fool,https://www.fool.com/investing/2023/01/02/is-elon-musk-right-about-tesla/,CEO Elon Musk has some simple advice for Tesla (TSLA -2.31%) employees sweating 2022's 65% setback for the company's stock price: Ignore it.
01/02/2023,"Tesla Car Sales Grow Slower Than Expected, Amplifying Concerns",The New York Times,https://www.nytimes.com/2023/01/02/business/tesla-fourth-quarter-sales.html,"... in the last three months of the year rose 18 percent from the previous quarter, disappointing Wall Street analysts and adding to pressure on Elon Musk,..."
01/02/2023,The 20 most unusual things Elon Musk said in the 2nd half of 2022,Business Insider,https://www.businessinsider.com/elon-musk-comments-ukraine-war-birth-rate-2022-12,"Elon Musk attends The 2022 Met Gala Celebrating ""In America: An Anthology of Fashion. Elon Musk has never been afraid to speak his mind. Theo Wargo/WireImage."
01/02/2023,"Facebook whistleblower Frances Haugen says if Elon Musk wants Twitter to be a public square, he should make its algorithms open source",Yahoo Finance,https://finance.yahoo.com/news/facebook-whistleblower-frances-haugen-says-110712489.html,"Facebook whistleblower Frances Haugen said if Elon Musk wants Twitter to be a public square, he should make its algorithm open source."
01/02/2023,"Elon Musk teases release of the 'Fauci Files,' following his previous scathing criticism of the medical expert",Yahoo News,https://news.yahoo.com/elon-musk-teases-release-fauci-132503661.html,"Elon Musk said the next Twitter Files release would include information about Anthony Fauci. ""Later this week,"" Musk responded to a user who asked when the ""#..."
01/02/2023,Elon Musk's Private Jet Emitted 146 Times More CO2 Than ...,AutoEvolution,https://www.autoevolution.com/news/elon-musk-s-private-jet-emitted-146-times-more-co2-than-the-average-american-in-2022-207588.html,"For someone like Elon Musk, who currently serves as CEO of three major companies and is a founder or co-founder of other entities like Neuralink or OpenAI, time..."
01/02/2023,Elon Musk loses $200 billion in over a year: Here’s his new net worth,Times of India,https://timesofindia.indiatimes.com/gadgets-news/elon-musk-loses-200-billion-in-over-a-year-heres-his-new-net-worth/articleshow/96687197.cms,"Elon Musk became the richest man in the world last year and had been at the top till almost mid of December when he was overtaken by Bernard Arnault,..."
01/03/2023,"How much is Elon Musk worth? Tesla, SpaceX, Twitter CEO has lost bigger fortune than anyone in history",ABC7 Chicago,https://abc7chicago.com/elon-musk-worth-twitter-money-tesla/12645968/,"Once the richest man in the world, Tesla, SpaceX and Twitter CEO Elon Musk has now lost a bigger fortune than anyone in history. CHICAGO -- Elon Musk's wealth..."
01/03/2023,Elon Musk loses biggest amount of money in history,The National,https://www.thenationalnews.com/business/2023/01/03/elon-musk-loses-biggest-fortune-in-history/,Billionaire could fall to third spot under Gautam Adani on global ranking of billionaires ... Tesla chief executive Elon Musk on Tuesday continued to lose wealth...
01/03/2023,"Elon Musk, 1st Person To Lose $200 Billion, Thanks Twitter User For $8",NDTV.com,https://www.ndtv.com/offbeat/elon-musks-twitter-response-to-losing-200-billion-3658626,"Twitter user Brianna Wu replied to Elon Musk's tweet on the New Year saying, ""You worked hard this year and lost over 200 billion. I believe that this year you..."
01/03/2023,"Twitter sued over $136,260 in unpaid rent after Elon Musk takeover",The Guardian,https://www.theguardian.com/technology/2023/jan/03/twitter-sued-overdue-rent-san-francisco-branch,Elon Musk is trying to slash expenses at Twitter as close to zero as possible while his personal wealth shrinks – and this apparently has included falling...
01/03/2023,Elon Musk cuts Twitter expenses by falling behind on bills,Hawaii News Now,https://www.hawaiinewsnow.com/2023/01/03/elon-musk-cuts-twitter-expenses-by-falling-behind-bills/,SAN FRANCISCO (AP) — Elon Musk is trying to slash expenses at Twitter as close to zero as possible while his personal wealth shrinks — and this apparently...
01/03/2023,Elon Musk downsizes Twitter headquarters to two floors from six,New York Post,https://nypost.com/2023/01/03/elon-musk-downsizes-twitter-headquarters-to-two-floors/,"Months after laying off thousands of employees at Twitter, new owner Elon Musk is now downsizing its San Francisco headquarters. The social media platform,..."
01/03/2023,Elon Musk’s SpaceX Valued At $137 Billion In Latest Funding Round,Forbes,https://www.forbes.com/sites/qai/2023/01/03/elon-musks-spacex-valued-at-137-billion-in-latest-funding-round/,SpaceX is reportedly raising $750 million in a new funding round that values the company at $137 billion. It comes as Founder and CEO Elon Musk comes under...
01/03/2023,Tesla stock drubbed: Elon Musk looking to stabilize EV maker,Axios,https://www.axios.com/2023/01/03/teslas-stock-elon-musk-tom-zhu,Elon Musk is paving the way for a new chapter — and new leadership — at Tesla as the electric vehicle automaker grapples with a sharp slide on its stock...
01/03/2023,Tesla’s ugly Q4 deliveries miss is the first hard proof that Elon Musk has a growing demand problem,Fortune,https://fortune.com/2023/01/03/tesla-q4-deliveries-miss-elon-musk-demand-problem-stock-price/,"This time around, however, Elon Musk's Tesla limped into the New Year with Q4 sales growth far worse than anticipated. It wasn't just that the 405,000 cars..."
01/03/2023,Tesla's Troubles Go Beyond Elon Musk: What You Need to ...,The Motley Fool,https://www.fool.com/investing/2023/01/03/teslas-troubles-go-beyond-elon-musk-what-you-need/,You're reading a free article with opinions that may differ from The Motley Fool's Premium Investing Services. Become a Motley Fool member today to get...
01/04/2023,Elon Musk says Twitter will ease ban on political advertising,PBS,https://www.pbs.org/newshour/politics/elon-musk-says-twitter-will-ease-ban-on-political-advertising,The company tweeted late Tuesday that “we're relaxing our ads policy for cause-based ads in the US.” READ MORE: Elon Musk tweets he'll resign as Twitter CEO...
01/04/2023,Elon Musk's Twitter lifts ban on political ads,Reuters,https://www.reuters.com/business/media-telecom/twitter-expand-permitted-political-advertising-2023-01-03/,"... ban on political ads, the company's head of trust and safety confirmed to Reuters on Wednesday, as the Elon Musk-owned company seeks to grow revenue."
01/04/2023,Elon Undoes Twitter's Ban on Political Ads,Gizmodo,https://gizmodo.com/elon-musk-twitter-political-ads-ban-ends-1849948118,Elon Musk's ending of the policy ends an era of Twitter's leadership on content moderation. By. Thomas Germain. PublishedJanuary 4...
01/04/2023,$378 Billion Up In Smoke: These 5 Billionaires Lost Record ...,Forbes,https://www.forbes.com/sites/mattdurot/2023/01/04/378-billion-up-in-smoke-these-5-billionaires-lost-record-breaking-amounts-in-2022/,"Elon Musk was by far the biggest loser in 2022. But he wasn't the only one whose fortune fell by a staggering, history-setting sum. At the height of the..."
01/04/2023,Tom Zhu: Elon Musk's right-hand man at Tesla,CNN,https://www.cnn.com/2023/01/04/tech/tom-zhu-tesla-china-chief-profile-intl-hnk/index.html,The reports have intensified speculation that China-born Zhu is being groomed to succeed Elon Musk as CEO at the world's biggest electric carmaker.
01/04/2023,Loyal Elon Musk fan Cathie Wood swims against prevailing currents to scoop up more Tesla shares for ARK Invest,Yahoo Finance,https://finance.yahoo.com/news/loyal-elon-musk-fan-cathie-173205090.html,"Loyal Elon Musk fan Cathie Wood swims against prevailing currents to scoop up more Tesla shares for ARK Invest. Christiaan Hetzner. January 4, 2023 ·5 min read."
01/04/2023,Elon Musk reflects on being Time ‘Person of the Year’ as his fortunes tumble,Yahoo News,https://news.yahoo.com/elon-musk-reflects-being-time-110831208.html,"Elon Musk has reflected on being Time's 'Person of the Year' – and his vastly different fortunes, 12 months on. When Mr Musk was given the honour,..."
01/04/2023,"Elon Musk may be facing more legal pain than he expects as companies sue for unpaid Twitter bills: 'Creditors have legal remedies, too'",MarketWatch,https://www.marketwatch.com/story/elon-musk-may-be-facing-more-legal-pain-than-he-expects-as-companies-sue-for-unpaid-twitter-bills-creditors-have-legal-remedies-too-11672856258,"Elon Musk may be facing more legal pain than he expects as companies sue for unpaid Twitter bills: 'Creditors have legal remedies, too'. Last Updated: Jan. 6,..."
01/04/2023,Head of Saudi investment fund subpoenaed in case over Musk's 'funding secured' tweet,CNN,https://www.cnn.com/2023/01/04/cars/elon-musk-tesla-lawsuit-saudi-investment/index.html,Elon Musk's team has subpoenaed the head of Saudi Arabia's Public Investment Fund as part of litigation over the Tesla CEO's 2018 tweet that he was...
01/04/2023,"Tesla at 'fork in the road', Elon Musk needs to confront weaker demand",Markets Insider,https://markets.businessinsider.com/news/stocks/tesla-stock-price-elon-musk-deliveries-demand-china-fork-road-2023-1,"Tesla's stock has been hammered down too drastically, but the company and CEO Elon Musk are at a ""fork in the road"" this year with the electric vehicle maker..."
01/05/2023,"Elon Musk, a Father of 10 and IVF User, Cut Twitter Fertility ...",Business Insider,https://www.businessinsider.com/elon-musk-kids-ivf-surrogacy-cut-twitter-fertility-benefit-2023-1,"Elon Musk, who has used fertility treatments to conceive most of his 10 children, just cut a major fertility benefit for Twitter employees · Elon Musk..."
01/05/2023,Twitter workers laid off by Elon Musk 2 months ago still haven’t received their severance pay and are now demanding answers,Fortune,https://fortune.com/2023/01/05/twitter-layoffs-severance-pay-cobra-elon-musk/,"Twitter employees who were laid off shortly after Elon Musk took over are still awaiting details of their severance packages months after being let go,..."
01/05/2023,Elon Musk's Cost Cutting Hits Twitter Employee Benefits,Observer,https://observer.com/2023/01/elon-musks-cost-cutting-hits-twitter-employee-benefits/,"Elon Musk, who took over Twitter in October, is cutting costs across the company to preserve its bottom line. The employee count has dwindled to a mere 25..."
01/05/2023,Elon Musk Tweets Support for Kevin McCarthy as GOP Leader ...,The Wall Street Journal,https://www.wsj.com/livecoverage/house-speaker-vote-kevin-mccarthy-gop/card/elon-musk-tweets-support-for-kevin-mccarthy-as-gop-leader-tries-to-win-over-holdouts-C4Ff0WjGxXCSByy1Tuld,Rep. Kevin McCarthy received what could be an important endorsement for his bid for House speaker early Thursday when Elon Musk tweeted his support for the...
01/05/2023,Elon Musk wants Kevin McCarthy to be speaker of the House and Ron DeSantis to be president,Yahoo Finance,https://finance.yahoo.com/news/elon-musk-wants-kevin-mccarthy-171423605.html,"Elon Musk is wading into politics—and letting his thoughts be known. The billionaire Tesla, SpaceX, and Twitter CEO indicated in November that he would..."
01/05/2023,Elon Musk Sides With Marjorie Taylor Greene Amid Speaker Turmoil,Newsweek,https://www.newsweek.com/elon-musk-marjorie-taylor-greene-speaker-turmoil-kevin-mccarthy-1771508,Elon Musk has waded into the conversation surrounding Representative Kevin McCarthy's repeated failed attempts to become House speaker—and he's siding with...
01/05/2023,Elon Musk a 'perfect recruitment tool' for trade unions: union leader,Business Insider,https://www.businessinsider.com/elon-musk-a-perfect-recruitment-tool-trade-unions-union-leader-2023-1,A senior union boss says Elon Musk is a 'perfect recruitment tool' for the trade union movement after the billionaire slashed Twitter's workforce.
01/05/2023,Fact Check-Elon Musk has not yet announced his successor ...,Reuters,https://www.reuters.com/article/factcheck-musk-twitter-idUSL1N33Q1QM,A screenshot of an article from a satirical blogsite has led people to falsely believe that Elon Musk has announced Donald Trump Jr. as his replacement as...
01/05/2023,It's Still Easy to Impersonate a Senator on Twitter After Elon ...,Futurism,https://futurism.com/the-byte/impersonate-senator-twitter-verification,"""Under Musk's leadership, Twitter users face a greater risk of seeing something fake and thinking it is real."" Faux Checks. Twitter CEO Elon Musk promised..."
01/05/2023,Life after Elon Musk: Tesla's board takes heat over CEO ...,Los Angeles Times,https://www.latimes.com/business/story/2023-01-05/elon-musk-tesla-board-ceo-succession-planning,Life after Elon Musk: Tesla's board takes heat over CEO succession planning. A man in a white shire and dark tie steps out of a car. A Tesla shareholder...
01/06/2023,Elon Musk's net worth has already dropped $13 billion this year,Yahoo Finance,https://finance.yahoo.com/news/elon-musks-net-worth-already-175230341.html,"Elon Musk has lost $13 billion so far in 2023, according to the Bloomberg Billionaires Index. Musk lost the most money of any billionaire in 2022 as Tesla..."
01/06/2023,Tesla's shares are sinking. Elon Musk's Twitter deal isn't helping,NPR,https://www.npr.org/2023/01/06/1146941980/tesla-shares-elon-musk-twitter-electric-cars,"That's not only bad for investors. It's also bad for Tesla CEO Elon Musk, who has a big chunk of his wealth tied to the automaker and is no longer the world's..."
01/06/2023,Tesla Stock Sinks To 29-Month Low—But One Analyst Says It Remains On The 'Right' Track,Forbes,https://www.forbes.com/sites/dereksaul/2023/01/06/tesla-stock-sinks-to-29-month-low-but-one-analyst-says-it-remains-on-the-right-track/,Tesla CEO Elon Musk speaks during the ground-breaking ceremony for a Tesla factory in Shanghai in ... [+] 2019. AFP via Getty Images. Key Facts. Tesla stock...
01/06/2023,Tesla's Value Has Absolutely Tanked. It's Probably Still Overvalued.,MotorTrend,https://www.motortrend.com/features/elon-musk-tesla-value-stock-still-overvalued/,"Elon Musk makes things, futuristic things such as cars that don't need gas and rockets that can land back on earth, a real-life Tony Stark. But Musk's Twitter..."
01/06/2023,Elon Musk Blasted for Michael Flynn's Jan. 6 Twitter Reinstatement,Newsweek,https://www.newsweek.com/elon-musk-blasted-michael-flynns-jan-6-twitter-reinstatement-1772003,He thanked Musk for his return to the platform. Elon Musk Michael Flynn Twitter Reinstatement J6. Elon Musk...
01/06/2023,Ex-Twitter staff left in the lurch by Musk over severance offer: CNN,Business Insider,https://www.businessinsider.com/twitter-elon-musk-staff-wait-months-severance-offer-2023-1,"Elon Musk promised laid-off Twitter workers severance, but some say they still haven't received it two months down the line."
01/06/2023,Elon Musk may be facing more legal pain than he expects as ...,Morningstar,https://www.morningstar.com/news/marketwatch/20230106395/elon-musk-may-be-facing-more-legal-pain-than-he-expects-as-companies-sue-for-unpaid-twitter-bills-creditors-have-legal-remedies-too,"Elon Musk may be facing more legal pain than he expects as companies sue for unpaid Twitter bills: 'Creditors have legal remedies, too'. Provided by Dow Jones."
01/06/2023,Tesla’s Already Bringing Its Gloom Into 2023. Elon Musk Needs to Act Now.,Barron's,https://www.barrons.com/articles/things-to-know-today-51673004606,"If Elon Musk has been distracted by his takeover of Twitter, a criticism leveled at him recently, now really is the time to refocus on Tesla."
01/06/2023,Elon Musk says Twitter staff 'error' led to hiring Perkins Coie law firm,Yahoo Finance,https://finance.yahoo.com/news/elon-musk-says-twitter-staff-191046479.html,(Reuters) - Twitter Inc CEO Elon Musk said in an email to Reuters on Friday that hiring law firm Perkins Coie to defend the company in a California federal...
01/06/2023,Elon Musk suffers worst loss of fortune in history amid “market madness”,Guinness World Records,https://www.guinnessworldrecords.com/news/2023/1/elon-musk-suffers-worst-loss-of-fortune-in-history-amid-market-madness-731988,Elon Musk (South Africa) has officially broken the world record for the largest loss of personal fortune in history. Advertisements.
01/07/2023,"Elon Musk attorneys aim to move trial from California to Texas, citing ‘local negativity’",CNBC,https://www.cnbc.com/2023/01/07/elon-musk-attorneys-aim-to-move-trial-from-california-to-texas-citing-local-negativity.html,"Elon Musk and Tesla are set to face a jury in a shareholder class action that claims the CEO manipulated Tesla's stock in 2018. In a new court filing,..."
01/07/2023,"Elon Musk attorneys try to move trial from California to Texas, citing ‘local negativity’",Yahoo News,https://news.yahoo.com/elon-musk-attorneys-try-move-114819622.html,"Attorneys for Tesla and Elon Musk are asking a federal judge in San Francisco to move, or delay, a forthcoming trial from Northern California to Western..."
01/07/2023,Elon Musk urges judge to shift trial out of San Franciso to Texas,Global News,https://globalnews.ca/news/9394685/elon-musk-trial-san-francisco-texas/,"Instead, in a filing submitted late Friday, Musk's lawyers argue that the trial should be moved to a federal court in western Texas, which includes the state..."
01/07/2023,Twitter cuts workers addressing hate speech and trust and safety as Elon Musk’s chaotic revamp continues,Fortune,https://fortune.com/2023/01/07/twitter-cuts-workers-hate-speech-trust-safety-elon-musk-revamp/,Elon Musk isn't done eliminating jobs at Twitter. Muhammed Selim Korkutata— Anadolu Agency.
01/07/2023,Elon Musk Twitter employees finally get severance agreements,Business Insider,https://www.businessinsider.com/elon-musk-twitter-employee-severance-agreements-2023-1,"A group of laid off Twitter employees finally got paltry severance agreements. Now they must decide whether to sign, or pursue legal action against Elon Musk's..."
01/07/2023,Elon Musk reportedly fires Twitter content moderation staff in Ireland and Singapore,The National,https://www.thenationalnews.com/business/technology/2023/01/08/elon-musk-fires-twitter-content-moderation-staff-in-ireland-and-singapore/,"Elon Musk reportedly fires Twitter content moderation staff in Ireland and Singapore. Since taking over the company, chief executive Musk has overseen firings..."
01/07/2023,"Elon Musk secures record for largest-ever loss of personal fortune, according to Guinness World Records",KTLA,https://ktla.com/news/elon-musk-secures-record-for-largest-ever-loss-of-personal-fortune-according-to-guinness-world-records/,"Elon Musk has secured a world record for the largest loss of personal fortune in history, Guinness World Records claimed Friday."
01/07/2023,Elon Musk says Twitter will roll out long-form tweets in early February,The National,https://www.thenationalnews.com/business/technology/2023/01/08/elon-musk-says-twitter-will-roll-out-long-form-tweets-in-early-february/,"Elon Musk, the new owner of Twitter, has said that long-form tweets will be ... This is part of a “much larger” user interface overhaul, Mr Musk said in a..."
01/07/2023,The Elon Musk personality cult lives strong. So does ...,Axios,https://www.axios.com/2023/01/07/the-elon-musk-personality-cult-lives-strong,"Elon Musk is doing just fine. His stakes in SpaceX, Tesla, and other concerns have made him the second-richest man in the world. He owns a global social..."
01/07/2023,Richard Branson says Elon Musk surprised him in his kitchen at 2 AM last year before spaceflight,Fox Business,https://www.foxbusiness.com/business-leaders/richard-branson-says-elon-musk-surprised-kitchen-2-am-last-year-before-spaceflight,Richard Bronson said in an interview this weekend that last year Elon Musk made a surprise visit to his New Mexico home around 2:30 in the morning to wish...
01/08/2023,"Elon Musk seeks to move trial out of San Francisco, claiming bias against him",The Guardian,https://www.theguardian.com/technology/2023/jan/08/musk-tesla-tweets-trial-san-francisco-texas,Musk says negative local media coverage of shareholder lawsuit over 2018 Tesla tweet has prejudiced jurors. Associated Press. Sun 8 Jan 2023 23.09 EST First...
01/08/2023,Elon Musk wants to move trial away from San Francisco over ...,The Verge,https://www.theverge.com/2023/1/8/23544754/elon-musk-trial-san-francisco-trial-biased-jury,"Elon Musk has asked a judge to move an upcoming trial for a shareholder lawsuit out of San Francisco, citing concerns that the jury may have a bias against..."
01/08/2023,"Elon Musk Seeks Venue Change In Shareholder Class Action, Cites Likely “Local Negativity” In San Francisco Jurors",Deadline,https://deadline.com/2023/01/elon-musk-seeks-venue-change-in-shareholder-class-action-1235214196/,"Elon Musk wants to move a shareholder class action lawsuit from San Francisco to West Texas, claiming a lack of unbiased jurors in the Bay Area."
01/08/2023,Elon Musk Sets World Record for Losing Money,Game Rant,https://gamerant.com/elon-musk-world-record-losing-money/,Famous billionaire and Twitter owner Elon Musk may be feeling a lighter wallet in his back pocket as he has officially set a Guinness World Record for the...
01/08/2023,Layoffs: Elon Musk fires more Twitter employees across departments,India Today,https://www.indiatoday.in/technology/news/story/layoffs-elon-musk-fires-more-twitter-employees-across-departments-2318829-2023-01-08,Many more Twitter employees fired by Elon Musk on Friday. Most of the impacted employees were looking after Twitter's trust and safety teams. Read to know more.
01/08/2023,Elon Musk's Twitter chaos has investors asking Tesla to act like a basic automaker,Yahoo News,https://news.yahoo.com/elon-musks-twitter-chaos-investors-133700655.html,Tesla investors think Elon Musk's Twitter controversies are hurting the automaker's value. Musk has bristled at criticisms that running Twitter keeps him from...
01/08/2023,"Steve Jobs, Tim Cook, Jeff Bezos, and Warren Buffett ...",Inc. Magazine,https://www.inc.com/bill-murphy-jr/steve-jobs-tim-cook-jeff-bezos-warren-buffett-confronted-this-brutal-truth-how-about-elon-musk.html,"What happens to Twitter if something happens to Elon Musk? Before we dive into this question, let me point out that I truly hope nothing happens to Musk."
01/08/2023,Elon Musk: SpaceX’s first orbital Starship launch “highly likely” in Q1 2023,Teslarati,https://www.teslarati.com/spacex-starship-orbital-launch-mount-stress-testing/,"Ultimately, if that testing produces the results SpaceX wants to see, CEO Elon Musk says that Starship could attempt its first orbital launch as early as..."
01/08/2023,Elon Musk confirms huge change to Twitter,NZ Herald,https://www.nzherald.co.nz/business/elon-musk-confirms-huge-change-to-twitter/XEMABEEFAFDQDOVKZZU25RPJQY/,Elon Musk has announced one of – if not the most – well-known characteristics of Twitter will change next month. One of the biggest changes to the...
01/08/2023,Tesla's Tom Zhu Gets Promoted To Second In Command After Elon Musk - Zhu To Head Sales In U.S. And Europe,Forbes,https://www.forbes.com/sites/qai/2023/01/08/teslas-tom-zhu-gets-promoted-to-second-in-command-after-elon-muskzhu-to-head-sales-in-us-and-europe/,"In an interesting contrast to Elon Musk, Tom Zhu has actually made very few public appearances since joining the electric vehicle maker in 2014. There isn't..."
01/09/2023,"Elon Musk Wants Trial Moved to Texas, Citing 'Local Negativity'",Entrepreneur,https://www.entrepreneur.com/business-news/elon-musk-wants-trial-moved-to-texas-citing-local/442516,Elon Musk Says 'Local Negativity' in California Will Prevent a Fair Jury Trial. He Wants to Move His Court Date to This State Instead.
01/09/2023,Elon Musk says media bias means he can’t get a fair trial in San Francisco,Yahoo Finance,https://finance.yahoo.com/news/elon-musk-says-media-bias-204300959.html,"Musk's lawyers made this claim (pdf) in federal district court on Friday, Jan. 6, in a Tesla shareholder lawsuit stemming from his tweets claiming he had..."
01/09/2023,"Elon Musk says he can't get fair trial in San Francisco, wants ...",Silicon Valley,https://www.siliconvalley.com/2023/01/09/musk-says-he-cant-get-fair-trial-in-california-wants-texas-2/,WASHINGTON — Elon Musk has urged a federal judge to shift a trial in a ... 17 — Musk's lawyers argue it should be moved to the federal court in the western...
01/09/2023,Feds probing Musk tweet about disabling driver monitoring in Teslas,New York Post,https://nypost.com/2023/01/09/feds-probing-elon-musk-tweet-about-tesla-driver-monitoring/,A tweet from Elon Musk indicating that Tesla might allow some owners who are testing a “Full Self-Driving” system to disable an alert that reminds them to...
01/09/2023,Elon Musk might have tweeted himself into hot water — again — with a regulator,Yahoo News,https://news.yahoo.com/elon-musk-might-tweeted-himself-205006971.html,The NHTSA said it's reviewing the tweet as part of its investigation into at least 14 Tesla crashes. Elon Musk's use of Twitter has caught the eye of yet...
01/09/2023,Federal regulators investigating Musk Tesla 'Full Self Driving' tweet,CNN,https://www.cnn.com/2023/01/09/business/musk-tesla-fsd-tweet/index.html,Federal regulators want to know what Elon Musk meant in a Tweet about disabling driver alerts on Tesla's “Full Self Driving” driver assist system.
01/09/2023,Twitter Blamed Delayed Severance Agreements on Lawsuit,Business Insider,https://www.businessinsider.com/elon-musk-twitter-blamed-delayed-severance-agreements-warn-act-lawsuit-2023-1,"The email didn't provide details, but may relate to one of the lawsuits about how Elon Musk handled layoffs. Sign up for our newsletter for the latest tech news..."
01/09/2023,Elon Musk has lost so much money that the Guinness World Records recognized him for the 'largest loss of personal fortune in history',Yahoo News,https://news.yahoo.com/elon-musk-lost-much-money-221029677.html,"Due to plummeting Tesla shares, Elon Musk lost more than $100 billion in 2022 and no longer holds the title of world's richest person."
01/09/2023,"Bob Saget’s Wife Asks Elon Musk to Re-Verify ‘Full House’ Star’s Twitter Page, One Year After His Death: ‘He’d Be Bummed About This’",Variety,https://variety.com/2023/tv/news/bob-saget-wife-asks-elon-musk-verify-twitter-account-1235482955/,"“Hi, Elon Musk – today on the one year anniversary of Bob's passing, I saw he's no longer verified?” Rizzo wrote on her own Twitter account."
01/09/2023,Elon Musk Blames Hiring Biglaw Firm He Personally Hates On ...,Above the Law,https://abovethelaw.com/2023/01/elon-musk-blames-hiring-biglaw-firm-he-personally-hates-on-an-error-because-he-has-no-idea-what-hes-doing/,Never let it be said that Elon Musk doesn't hold grudges. It was recently revealed that Perkins Coie entered an appearance on behalf of Musk's personal...
01/10/2023,Laid-off Twitter workers feared meager severance deals. Elon ...,Los Angeles Times,https://www.latimes.com/business/story/2023-01-10/musk-twitter-layoffs-severance-lawsuits,"After months of waiting, hundreds of Twitter employees laid off by Elon Musk in early November received their separation agreements by email Saturday..."
01/10/2023,A lawyer representing hundreds of laid-off Twitter staff has ...,Yahoo News,https://news.yahoo.com/lawyer-representing-hundreds-laid-off-112558696.html,"A lawyer fighting Twitter said Elon Musk tried to ""fleece"" ex-workers with his offers of severance pay. Twitter had said they'd get two months' salary,..."
01/10/2023,What does Musk’s rework of company benefits say to employees?,The American Genius,https://theamericangenius.com/editorials/what-does-musk-rework-of-company-benefits-say-to-employees/,"What does Musk's rework of company benefits say to employees? Elon Musk taking over Twitter has dominated headlines, but his company benefits shuffle has us..."
